Month,Total Energy Consumed 
01-05-1995,1208.962
01-06-1995,1240.833
01-07-1995,1478.715
01-08-1995,1575.547
01-09-1995,1248.099
01-10-1995,1185.374
01-11-1995,1534.78
01-12-1995,2046.469
01-01-1996,2391.893
01-02-1996,2094.974
01-03-1996,1888.223
01-04-1996,1458.599
01-05-1996,1295.287
01-06-1996,1331.957
01-07-1996,1475.941
01-08-1996,1448.203
01-09-1996,1247.125
01-10-1996,1242.048
01-11-1996,1597.996
01-12-1996,2024.858
01-01-1997,2326.163
01-02-1997,1896.43
01-03-1997,1707.421
01-04-1997,1392.826
01-05-1997,1236.444
01-06-1997,1251.823
01-07-1997,1536.308
01-08-1997,1464.042
01-09-1997,1280.337
01-10-1997,1290.949
01-11-1997,1554.456
01-12-1997,2025.745
01-01-1998,2150.511
01-02-1998,1787.859
01-03-1998,1805.183
01-04-1998,1363.939
01-05-1998,1278.563
01-06-1998,1425.664
01-07-1998,1661.838
01-08-1998,1598.055
01-09-1998,1379.417
01-10-1998,1275.657
01-11-1998,1380.78
01-12-1998,1852.705
01-01-1999,2404.592
01-02-1999,1856.671
01-03-1999,1901.501
01-04-1999,1452.413
01-05-1999,1278.647
01-06-1999,1389.855
01-07-1999,1685.751
01-08-1999,1649.913
01-09-1999,1339.534
01-10-1999,1272.496
01-11-1999,1393.703
01-12-1999,1934.585
01-01-2000,2376.644
01-02-2000,2067.246
01-03-2000,1716.727
01-04-2000,1429.67
01-05-2000,1367.622
01-06-2000,1457.37
01-07-2000,1603.549
01-08-2000,1653.544
01-09-2000,1392.954
01-10-2000,1316.008
01-11-2000,1602.448
01-12-2000,2431.274
01-01-2001,2607.896
01-02-2001,2045.654
01-03-2001,1938.578
01-04-2001,1462.889
01-05-2001,1270.906
01-06-2001,1392.83
01-07-2001,1618.098
01-08-2001,1685.043
01-09-2001,1346.634
01-10-2001,1320.879
01-11-2001,1418.882
01-12-2001,1923.622
01-01-2002,2321.869
01-02-2002,1935.889
01-03-2002,1921.425
01-04-2002,1507.561
01-05-2002,1375.9
01-06-2002,1495.406
01-07-2002,1743.077
01-08-2002,1707.559
01-09-2002,1463.574
01-10-2002,1417.144
01-11-2002,1657.876
01-12-2002,2237.906
01-01-2003,2599.786
01-02-2003,2281.551
01-03-2003,1971.244
01-04-2003,1491.005
01-05-2003,1379.464
01-06-2003,1413.121
01-07-2003,1688.921
01-08-2003,1709.401
01-09-2003,1439.162
01-10-2003,1358
01-11-2003,1550.628
01-12-2003,2231.867
01-01-2004,2632.749
01-02-2004,2292.281
01-03-2004,1851.908
01-04-2004,1456.114
01-05-2004,1381.139
01-06-2004,1498.225
01-07-2004,1674.961
01-08-2004,1625.617
01-09-2004,1445.151
01-10-2004,1382.02
01-11-2004,1574.654
01-12-2004,2265.691
01-01-2005,2520.133
01-02-2005,2092.527
01-03-2005,2013.776
01-04-2005,1464.426
01-05-2005,1377.059
01-06-2005,1573.523
01-07-2005,1845.057
01-08-2005,1839.254
01-09-2005,1551.038
01-10-2005,1427.003
01-11-2005,1561.036
01-12-2005,2350.191
01-01-2006,2193.675
01-02-2006,2023.652
01-03-2006,1939.638
01-04-2006,1456.917
01-05-2006,1375.146
01-06-2006,1548.233
01-07-2006,1837.468
01-08-2006,1821.405
01-09-2006,1413.676
01-10-2006,1397.695
01-11-2006,1591.712
01-12-2006,2070.571
01-01-2007,2397.484
01-02-2007,2388.481
01-03-2007,1934.287
01-04-2007,1514.199
01-05-2007,1379.256
01-06-2007,1518.141
01-07-2007,1726.62
01-08-2007,1862.877
01-09-2007,1545.29
01-10-2007,1389.622
01-11-2007,1606.388
01-12-2007,2260.008
01-01-2008,2574.135
01-02-2008,2284.454
01-03-2008,2005.137
01-04-2008,1522.401
01-05-2008,1372.467
01-06-2008,1596.749
01-07-2008,1783.214
01-08-2008,1702.808
01-09-2008,1426.808
01-10-2008,1371.217
01-11-2008,1644.348
01-12-2008,2386.255
01-01-2009,2653.09
01-02-2009,2125.484
01-03-2009,1912.091
01-04-2009,1504.874
01-05-2009,1354.634
01-06-2009,1503.087
01-07-2009,1682.328
01-08-2009,1685.298
01-09-2009,1396.281
01-10-2009,1404.729
01-11-2009,1517.429
01-12-2009,2344.507
01-01-2010,2722.039
01-02-2010,2278.63
01-03-2010,1901.351
01-04-2010,1350.527
01-05-2010,1377.988
01-06-2010,1642.213
01-07-2010,1869.428
01-08-2010,1834.734
01-09-2010,1476.365
01-10-2010,1324.449
01-11-2010,1612.048
01-12-2010,2505.44
01-01-2011,2700.965
01-02-2011,2180.117
01-03-2011,1868.535
01-04-2011,1453.673
01-05-2011,1365.826
01-06-2011,1586.975
01-07-2011,1889
01-08-2011,1825.576
01-09-2011,1454.75
01-10-2011,1336.282
01-11-2011,1582.913
01-12-2011,2136.433
01-01-2012,2288.469
01-02-2012,1922.942
01-03-2012,1555.297
01-04-2012,1290.309
01-05-2012,1340.055
01-06-2012,1508.728
01-07-2012,1836.14
01-08-2012,1722.618
01-09-2012,1395.757
01-10-2012,1329.517
01-11-2012,1634.454
01-12-2012,2052.172
01-01-2013,2455.465
01-02-2013,2087.734
01-03-2013,2014.592
01-04-2013,1488.318
01-05-2013,1312.459
01-06-2013,1468.943
01-07-2013,1707.576
01-08-2013,1634.544
01-09-2013,1434.685
01-10-2013,1338.602
01-11-2013,1705.465
01-12-2013,2405.096
01-01-2014,2808.412
01-02-2014,2351.29
01-03-2014,2086.369
01-04-2014,1424.186
01-05-2014,1339.505
